,Unnamed: 0,Name,Language,Original,Transcription,Score
0,0,Joanna,English,Gwen had her best sleep ever on her new bed of nails.,Gwen had her best sleep ever on her new bed of nails.,0
1,1,Joanna,English,When confronted with a rotary dial phone the teenager was perplexed.,"When confronted with the rotary dial found, a teenager was perplexed.",11
2,2,Joanna,English,There was no telling what thoughts would come from the machine.,There was no telling what thoughts would come from the machine.,0
3,3,Joanna,English,Baby wipes are made of chocolate stardust.,Baby wipes are made of chocolate stardust.,0
4,4,Joanna,English,It caught him off guard that space smelled of seared steak.,It cut him off guard that space smelled of seared steak.,3
5,5,Joanna,English,"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.","You're unsure whether or not to trust him, but very thankful that you wore a turtleneck.",1
6,6,Joanna,English,Cursive writing is the best way to build a race track.,CUrsive writing is the best way to build the racetrack.,5
7,7,Joanna,English,Today is the day I'll finally know what brick tastes like.,Today is the day I'll finally know what brick tastes like.,0
8,8,Joanna,English,"There was no ice cream in the freezer, nor did they have money to go to the store.","There was no ice cream in the freezer, nor did they have money to go to the store.",0
9,9,Joanna,English,Nothing seemed out of place except the washing machine in the bar.,Nothing seemed out of place except the washing machine in the bar.,0
10,10,Joanna,English,"He realized there had been several deaths on this road, but his concern rose when he saw the exact number.","He realized there had been several deaths on this road, but his concern rose when he saw the exact number.",0
11,11,Joanna,English,Jeanne wished she has chosen the red button.,Jean wished she has chosen the red button.,2
12,12,Joanna,English,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",David subscribes to the stuff your tent into the back strategy over nicely folding it.,3
13,13,Joanna,English,All you need to do is pick up the pen and begin.,All you need to do is pick up the pen and begin.,0
14,14,Joanna,English,The underground bunker was filled with chips and candy.,The underground bunker was filled with chips and candy.,0
15,15,Joanna,English,"It dawned on her that others could make her happier, but only she could make herself happy.","It dawned on her that others could make her happier, but only she could make herself happy.",0
16,16,Joanna,English,The green tea and avocado smoothie turned out exactly as would be expected.,"The green tea, an avocado smoothie, turned out exactly as would be expected.",3
17,17,Joanna,English,The thunderous roar of the jet overhead confirmed her worst fears.,The thunderous roar of the jet overhead confirmed her worst fears.,0
18,18,Joanna,English,It was the scarcity that fueled his creativity.,It was the scarcity that fueled his creativity.,0
19,19,Joanna,English,"The sky is clear, the stars are twinkling.","The sky is clear, the stars are twinkling.",0
20,20,Joanna,English,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.,You have no right to call yourself creative until you look at a trowel and think that it would make a great lock pick.,1
