,Name,Language,Original,Transcription
0,Joanna,English,Gwen had her best sleep ever on her new bed of nails.,Gwen had her best sleep ever on her new bed of nails.
1,Joanna,English,When confronted with a rotary dial phone the teenager was perplexed.,"When confronted with the rotary dial found, a teenager was perplexed."
2,Joanna,English,There was no telling what thoughts would come from the machine.,There was no telling what thoughts would come from the machine.
3,Joanna,English,Baby wipes are made of chocolate stardust.,Baby wipes are made of chocolate stardust.
4,Joanna,English,It caught him off guard that space smelled of seared steak.,It cut him off guard that space smelled of seared steak.
5,Joanna,English,"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.","You're unsure whether or not to trust him, but very thankful that you wore a turtleneck."
6,Joanna,English,Cursive writing is the best way to build a race track.,CUrsive writing is the best way to build the racetrack.
7,Joanna,English,Today is the day I'll finally know what brick tastes like.,Today is the day I'll finally know what brick tastes like.
8,Joanna,English,"There was no ice cream in the freezer, nor did they have money to go to the store.","There was no ice cream in the freezer, nor did they have money to go to the store."
9,Joanna,English,Nothing seemed out of place except the washing machine in the bar.,Nothing seemed out of place except the washing machine in the bar.
10,Joanna,English,"He realized there had been several deaths on this road, but his concern rose when he saw the exact number.","He realized there had been several deaths on this road, but his concern rose when he saw the exact number."
11,Joanna,English,Jeanne wished she has chosen the red button.,Jean wished she has chosen the red button.
12,Joanna,English,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it.",David subscribes to the stuff your tent into the back strategy over nicely folding it.
13,Joanna,English,All you need to do is pick up the pen and begin.,All you need to do is pick up the pen and begin.
14,Joanna,English,The underground bunker was filled with chips and candy.,The underground bunker was filled with chips and candy.
15,Joanna,English,"It dawned on her that others could make her happier, but only she could make herself happy.","It dawned on her that others could make her happier, but only she could make herself happy."
16,Joanna,English,The green tea and avocado smoothie turned out exactly as would be expected.,"The green tea, an avocado smoothie, turned out exactly as would be expected."
17,Joanna,English,The thunderous roar of the jet overhead confirmed her worst fears.,The thunderous roar of the jet overhead confirmed her worst fears.
18,Joanna,English,It was the scarcity that fueled his creativity.,It was the scarcity that fueled his creativity.
19,Joanna,English,"The sky is clear, the stars are twinkling.","The sky is clear, the stars are twinkling."
20,Joanna,English,You have no right to call yourself creative until you look at a trowel and think that it would make a great lockpick.,You have no right to call yourself creative until you look at a trowel and think that it would make a great lock pick.
21,Joanna,English,I covered my friend in baby oil.,I covered my friend in Baby Oil.
22,Joanna,English,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.,It's much more difficult to play tennis with a bowling ball than it is to bowl with a tennis ball.
23,Joanna,English,He didn't understand why the bird wanted to ride the bicycle.,He didn't understand why the bird wanted to ride the bicycle.
24,Joanna,English,He had unknowingly taken up sleepwalking as a nighttime hobby.,He had unknowingly taken up sleepwalking as a nighttime hobby.
25,Joanna,English,The fact that there's a stairway to heaven and a highway to hell explains life well.,The fact that there's a stairway to heaven and a highway to hell explains life well.
26,Joanna,English,She couldn't understand why nobody else could see that the sky is full of cotton candy.,She couldn't understand why nobody else could see that the sky is full of cotton candy.
27,Joanna,English,The fence was confused about whether it was supposed to keep things in or keep things out.,Defense was confused about whether it was supposed to keep things in or keep things out.
28,Joanna,English,"For oil spots on the floor, nothing beats parking a motorbike in the lounge.","For oil spots on the floor, nothing beats parking a motorbike in the lounge."
29,Joanna,English,Nancy was proud that she ran a tight shipwreck.,Nancy was proud that she ran a tight ship wreck.
30,Joanna,English,We have young kids who often walk into our room at night for various reasons including clowns in the closet.,"We have young kids who often walk into our room at night for various reasons, including clowns in the closet."
31,Joanna,English,The lyrics of the song sounded like fingernails on a chalkboard.,The lyrics of the song sounded like fingernails on a chalkboard.
32,Joanna,English,Too many prisons have become early coffins.,Too many prisons have become early coffins.
33,Joanna,English,Everyone pretends to like wheat until you mention barley.,Everyone pretends to like weed until you mentioned barley.
34,Joanna,English,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in hours.
35,Joanna,English,The snow-covered path was no help in finding his way out of the back-country.,The snow covered path was no help in finding his way out of the backcountry.
36,Joanna,English,Nudist colonies shun fig-leaf couture.,Nudist colonies shun fig leaf couture.
37,Joanna,English,Beach-combing replaced wine tasting as his new obsession.,Beachcombing replaced wine tasting as his new obsession.
38,Joanna,English,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.
39,Joanna,English,He dreamed of eating green apples with worms.,He dreamed of eating green apples with worms.
40,Joanna,English,"She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.","She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss and pesticides."
41,Joanna,English,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.,He was so preoccupied with whether or not he could that he failed to stop to consider if he should.
42,Joanna,English,It was a really good Monday for being a Saturday.,It was a really good monday for being a saturday.
43,Joanna,English,I ate a sock because people on the Internet told me to.,I ate a sock because people on the Internet told me to.
44,Joanna,English,I would be delighted if the sea were full of cucumber juice.,I would be delighted if the sea were full of cucumber juice.
45,Joanna,English,He felt that dining on the bridge brought romance to his relationship with his cat.,He felt that dining on the bridge brought romance to his relationship with his cat.
46,Joanna,English,There are few things better in life than a slice of pie.,There are a few things better in life than a slice of pie.
47,Joanna,English,A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt.,A purple pig and a green donkey fluid kite in the middle of the night and ended up sunburnt.
48,Joanna,English,"She saw the brake lights, but not in time.","She saw the brake lights, but not in time."
49,Joanna,English,Please wait outside of the house.,Please wait outside of the house.
50,Joanna,English,Truth in advertising and dinosaurs with skateboards have much in common.,Truth in advertising and dinosaurs with skateboards have much in common.
51,Joanna,English,"There were white out conditions in the town, subsequently, the roads were impassable.","There were white out conditions in the town, subsequently the roads were impassable."
52,Joanna,English,I thought red would have felt warmer in summer but I didn't think about the equator.,"I thought red would have felt warmer in summer, but I didn't think about the equator."
53,Joanna,English,The toy brought back fond memories of being lost in the rain forest.,The toy brought back fond memories of being lost in the rain forest.
54,Joanna,English,Nobody has encountered an explosive daisy and lived to tell the tale.,Nobody has encountered an explosive daisy and lived to tell the tale.
55,Joanna,English,"After exploring the abandoned building, he started to believe in ghosts.","After exploring the abandoned building, he started to believe in ghosts."
56,Joanna,English,The truth is that you pay for your lifestyle in hours.,The truth is that you pay for your lifestyle in hours.
57,Joanna,English,The father died during childbirth.,The father died during childbirth.
58,Joanna,English,Imagine his surprise when he discovered that the safe was full of pudding.,Imagine his surprise when he discovered that the safe was full of pudding.
59,Joanna,English,A song can make or ruin a person’s day if they let it get to them.,A song can make or ruin a personas day if they let it get to them.
60,Joanna,English,She had a difficult time owning up to her own crazy self.,She had a difficult time owning up to her own crazy self.
61,Joanna,English,He dreamed of leaving his law firm to open a portable dog wash.,He dreamed of leaving his law firm to open a portable dog wash.
62,Joanna,English,I'd always thought lightning was something only I could see.,I'd always thought lightning was something only I could see.
63,Joanna,English,Everyone was curious about the large white blimp that appeared overnight.,Everyone was curious about the large white blimp that appeared overnight.
64,Joanna,English,The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.,The clouds form beautiful animals in the sky that eventually created a tornado to wreak havoc.
65,Joanna,English,Pink horses galloped across the sea.,Pink horses galloped across the sea.
66,Joanna,English,"In hopes of finding out the truth, he entered the one-room library.","In hopes of finding out the truth, he entered the one room library."
67,Joanna,English,She tilted her head back and let whip cream stream into her mouth while taking a bath.,She tilted her head back and let whip cream stream into her mouth while taking a bath.
68,Joanna,English,They looked up at the sky and saw a million stars.,They looked up at the sky and saw a million stars.
69,Joanna,English,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
70,Joanna,English,The gloves protect my feet from excess work.,The gloves protect my feet from excess work.
71,Joanna,English,"Green should have smelled more tranquil, but somehow it just tasted rotten.","Green should have smelled more tranquil, but somehow it just tasted rotten."
72,Joanna,English,The secret ingredient to his wonderful life was crime.,The secret ingredient to his wonderful life was crime.
73,Joanna,English,He decided to live his life by the big beats manifesto.,He decided to live his life by the big beats manifesto.
74,Joanna,English,"In the end, he realized he could see sound and hear words.","In the end, he realized he could see sound and hear words."
75,Joanna,English,The pet shop stocks everything you need to keep your anaconda happy.,The pet shop stocks everything you need to keep your anaconda happy.
76,Joanna,English,"He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility.","He used to get confused between soldiers and shoulders, but as a military man, he now soldiers responsibility."
77,Joanna,English,She advised him to come back at once.,She advised him to come back at once.
78,Joanna,English,The beauty of the African sunset disguised the danger lurking nearby.,The beauty of the African sunset disguised the danger lurking nearby.
79,Joanna,English,"The rusty nail stood erect, angled at a 45-degree angle, just waiting for the perfect barefoot to come along.","The rusty nails stood erect, angled at a 45° angle, just waiting for the perfect barefoot to come along."
80,Joanna,English,We should play with legos at camp.,We should play with legos at camp.
81,Joanna,English,I am my aunt's sister's daughter.,I am my aunt's sister's daughter.
82,Joanna,English,"It was obvious she was hot, sweaty, and tired.","It was obvious she was hot, sweaty and tired."
83,Joanna,English,Charles ate the french fries knowing they would be his last meal.,Charles ate the french fries knowing they would be his last meal.
